Title,Authors,First_Publish_Year,Edition_Count,Subjects,Availability,URL,Cover_URL
Frankenstein or The Modern Prometheus,Mary Shelley,1818,2184,"Frankenstein (Fictitious character), Frankenstein's monster (Fictitious character), Fiction, Victor Frankenstein (Fictitious character), Scientists",Readable Online,https://openlibrary.org/works/OL450063W,https://covers.openlibrary.org/b/id/12356249-M.jpg
Brave New World,Aldous Huxley,1932,696,"Utopias, Brainwashing, Moral and ethical aspects of Science, Fiction, Science and state",Lendable,https://openlibrary.org/works/OL64365W,https://covers.openlibrary.org/b/id/8231823-M.jpg
The Invisible Man,H. G. Wells,0,563,"Ciencia-ficción, Classic Literature, Fiction, Mentally ill, Science Fiction & Fantasy",Metadata Only,https://openlibrary.org/works/OL52266W,https://covers.openlibrary.org/b/id/6419199-M.jpg
De rerum natura,Titus Lucretius Carus,1486,537,"Latin Didactic poetry, Ancient Philosophy, Poetry, Translations into English, Translations into Italian",Readable Online,https://openlibrary.org/works/OL1548597W,https://covers.openlibrary.org/b/id/566208-M.jpg
Le Tour du Monde en Quatre-Vingts Jours,Jules Verne,1872,426,"Viajes alrededor del mundo, Translations into Gujarati, Fiction, Translations from French, Children's stories, French",Readable Online,https://openlibrary.org/works/OL1100007W,https://covers.openlibrary.org/b/id/6976035-M.jpg
Two years before the mast,Richard Henry Dana,1000,337,"Alert (Brig : 1843-1862), Large-type books, Pilgrim (Brig), Sailors, Seafaring life",Readable Online,https://openlibrary.org/works/OL1815550W,https://covers.openlibrary.org/b/id/8245243-M.jpg
Houghton Mifflin Science California,Houghton Mifflin Company Staff,2006,301,"Science, Study and teaching (Elementary), Reading (Elementary), Language experience approach, Language arts",Lendable,https://openlibrary.org/works/OL27468204W,https://covers.openlibrary.org/b/id/12746894-M.jpg
The Island of Dr. Moreau,H. G. Wells,1896,295,"Islands, Survival after airplane accidents, shipwrecks, Fiction, Animal experimentation, Horror stories",Readable Online,https://openlibrary.org/works/OL381550W,https://covers.openlibrary.org/b/id/968312-M.jpg
History,Herodotus,1494,282,"Ancient History, History, Early works to 1800, Plataea, Battle of, Plataiai, Greece, 479 B.C., Salamis, Battle of, Greece, 480 B.C.",Readable Online,https://openlibrary.org/works/OL15678068W,https://covers.openlibrary.org/b/id/9829028-M.jpg
Houghton Mifflin Science Leveled Readers,Houghton Mifflin Company Staff,2005,242,"Science, Juvenile literature, Readers, Sciences, Ouvrages pour la jeunesse",Lendable,https://openlibrary.org/works/OL27467443W,https://covers.openlibrary.org/b/id/12917356-M.jpg
"[William Wheeler Hubbell, authorized to apply for patents.]",United States. Congress. Senate. Committee on Patents,1858,241,"Administration of Justice, Agricultural machinery, Ammunition, Animal feeding, Appropriations and expenditures",Metadata Only,https://openlibrary.org/works/OL7574091W,https://covers.openlibrary.org/b/id/10200621-M.jpg
"The principall navigations, voiages, and discoveries of the English nations","Richard Hakluyt, Jack Beeching, Richard David, Edmund Goldsmid",1589,225,"Voyages and travel, Discovery and exploration, English, Collected works, Voyages and travels",Readable Online,https://openlibrary.org/works/OL3639910W,https://covers.openlibrary.org/b/id/6052194-M.jpg
Principles of Anatomy and Physiology,"Gerard J. Tortora, Bryan H. Derrickson, Brendan Burkett, Danielle Dye, Julie Cooke, HOUGHTON MIFFLIN HARCOURT, Gregory Peoples, Tara Diversi, Mark McKean, Latika Samalia, Rebecca Mellifont, Richard G. Smith undifferentiated, Gerald J. Tortura, Sandra R. Grabowski, Tortora, Sandra Reynolds Grabowski",1975,218,"Anatomie humaine, Anatomy, Anatomy. 2, Homeostasis, Homéostasie",Metadata Only,https://openlibrary.org/works/OL1827306W,https://covers.openlibrary.org/b/id/3810109-M.jpg
On the origin of species by means of natural selection,Charles Darwin,1859,218,"Evolution, Evolution (Biology), Evolución, great_books_of_the_western_world, Natural selection",Readable Online,https://openlibrary.org/works/OL515051W,https://covers.openlibrary.org/b/id/7153600-M.jpg
Moralia,Plutarch,1500,211,"Ancient Ethics, Ancient Philosophy, Animals (Philosophy), Biography, Early works to 1800",Readable Online,https://openlibrary.org/works/OL723491W,https://covers.openlibrary.org/b/id/5788251-M.jpg
